,,,n,0.00,365.00,1.00,2.00,730.00,3.00,7.00,367.00,14.00,366.00,368.00,6.00,363.00,4.00,19.00,12.00,362.00,28.00,13.00,17.00
,,,a_n,117.34,2.70,-6.08,-7.50,-4.85,3.89,-3.26,-3.37,-3.44,-0.34,2.29,-3.13,1.15,-2.29,2.05,2.81,0.70,-0.37,-1.37,-1.68
,,,b_n,0.00,-13.21,6.80,3.06,-1.90,3.44,-3.04,2.77,-1.82,3.82,-2.90,1.93,3.16,-1.97,-2.04,0.14,-2.61,-2.52,1.93,1.38
,,,amplitude,117.34,13.48,9.13,8.10,5.20,5.20,4.46,4.36,3.89,3.84,3.69,3.67,3.36,3.02,2.90,2.81,2.70,2.54,2.37,2.17
,,,,,,,,,,,,,,,,,,,,,,,
N,Hour,DateTime,Pt,A0,A_Ns,,,,,,,,,,,,,,,,,,
15,15,1/1/25 15:00,98.37,117.34,7.43300003,-6.010277179,-7.435448976,-1.898095697,4.002421261,-3.481989591,0.331094912,-3.672337179,-2.49570897,0.551869744,-2.995207931,-3.013276896,-2.370406666,1.594790973,2.802585519,1.271894131,-1.099261753,-1.087450761,-1.399925475
16,16,1/1/25 16:00,103.06,117.34,10.09035036,-6.005349951,-7.430822998,0.779060527,4.009549305,-3.495934065,-0.812461096,-3.685003856,-3.167350924,1.485516009,-2.986019244,-3.293490057,-2.375769643,1.56168349,2.800588702,1.840288877,-1.14510908,-1.067762233,-1.379559123
17,17,1/1/25 17:00,107.13,117.34,12.06005999,-6.000419634,-7.426181728,3.247468112,4.016658784,-3.509790412,-1.900044307,-3.697298961,-3.621965598,2.316265542,-2.976775254,-3.351696382,-2.381113065,1.528285976,2.798384412,2.285312534,-1.190494558,-1.04798087,-1.358987661
18,18,1/1/25 18:00,109.80,117.34,13.20789646,-5.99548623,-7.421525176,4.845719239,4.023749665,-3.523558283,-2.856727963,-3.709221256,-3.828402737,2.986575097,-2.967476133,-3.183972312,-2.386436887,1.494604633,2.795972813,2.577131171,-1.235399882,-1.028108393,-1.33821415
19,19,1/1/25 19:00,110.56,117.34,13.45563661,-5.990549741,-7.416853352,5.145563809,4.030821916,-3.537237329,-3.616603358,-3.720769537,-3.772517244,3.45001457,-2.958122053,-2.801623755,-2.391741066,1.460645717,2.793354083,2.696181564,-1.279806941,-1.008146528,-1.317241676
20,20,1/1/25 20:00,109.31,117.34,12.78639737,-5.98561017,-7.412166266,4.066658712,4.037875503,-3.550827208,-4.127320476,-3.731942641,-3.458138398,3.674483057,-2.948713187,-2.230423974,-2.397025557,1.426415533,2.790528416,2.634482696,-1.323697825,-0.988097013,-1.296073359
21,21,1/1/25 21:00,106.33,117.34,11.24578627,-5.980667521,-7.407463926,1.898095697,4.044910395,-3.564327575,-4.353694534,-3.742739441,-2.906807478,3.644432375,-2.939249709,-1.508876277,-2.402290317,1.39192044,2.787496022,2.396170797,-1.36705483,-0.967961589,-1.274712346
22,22,1/1/25 22:00,102.27,117.34,8.938793425,-5.975721794,-7.402746343,-0.779060527,4.051926558,-3.577738092,-4.28012997,-3.753158849,-2.156301748,3.361944035,-2.929731795,-0.685618588,-2.407535303,1.357166843,2.784257126,1.997222053,-1.409860471,-0.947742007,-1.253161812
23,23,1/1/25 23:00,97.93,117.34,6.02263658,-5.970772993,-7.398013526,-3.247468112,4.05892396,-3.591058419,-3.911694858,-3.763199812,-1.258045952,2.84658506,-2.920159621,0.183855124,-2.412760472,1.322161197,2.780811967,1.46438158,-1.452097483,-0.927440026,-1.231424961
24,0,1/2/25 0:00,94.10,117.34,2.696047005,-5.96582112,-7.393265485,-4.845719239,4.065902569,-3.60428822,-3.273771761,-3.772861321,-0.273588692,2.134052645,-2.910533363,1.040935572,-2.417965781,1.286910003,2.7771608,0.833370461,-1.493748831,-0.907057411,-1.209505026
25,1,1/2/25 1:00,91.36,117.34,-0.814273718,-5.960866178,-7.38850223,-5.145563809,4.072862352,-3.617427163,-2.410309047,-3.782142399,0.729614901,1.273701532,-2.900853201,1.827848869,-2.423151186,1.251419808,2.773303897,0.146491036,-1.534797715,-0.886595933,-1.187405266
