DateTime,year,n,a_n,b_n,amplitude,period_hours
102,2024,102,-0.912212515,0.690382598,1.144010404,85.88235294
103,2024,103,-0.832215921,-1.59709414,1.800914499,85.04854369
104,2024,104,1.939656676,-0.060902918,1.94061258,84.23076923
105,2024,105,-2.384754044,2.069493609,3.157507823,83.42857143
106,2024,106,-2.666417432,-1.471489782,3.04549899,82.64150943
107,2024,107,0.359953067,-0.547922527,0.655580129,81.86915888
108,2024,108,-2.120903913,0.008696213,2.120921741,81.11111111
109,2024,109,0.554305491,-1.879454063,1.959490279,80.36697248
110,2024,110,0.390758993,1.301158417,1.35856756,79.63636364
111,2024,111,-1.887556643,-0.601013426,1.980930897,78.91891892
112,2024,112,0.411176517,-1.534453238,1.588588326,78.21428571
113,2024,113,0.348382324,-1.147373433,1.19909801,77.52212389
114,2024,114,1.271388937,0.257019541,1.297107888,76.84210526
115,2024,115,-1.050199007,-0.043151888,1.051085172,76.17391304
116,2024,116,0.46215596,-1.213440877,1.298470983,75.51724138
117,2024,117,-0.218569473,0.056397802,0.225728436,74.87179487
118,2024,118,0.294272477,-1.689064711,1.714507477,74.23728814
119,2024,119,1.28225961,0.223588687,1.301607318,73.61344538
120,2024,120,0.301191441,0.871833475,0.922393567,73
121,2024,121,0.036118533,0.751642022,0.752509321,72.39669421
122,2024,122,-0.180594066,-0.294132758,0.345149672,71.80327869
123,2024,123,1.251518394,0.071791835,1.253575828,71.2195122
124,2024,124,0.359658815,2.029881411,2.061497758,70.64516129
125,2024,125,0.065020386,0.387203165,0.392624429,70.08
126,2024,126,-0.139447677,1.368108331,1.375196735,69.52380952
127,2024,127,-0.997323492,-0.299809972,1.041412582,68.97637795
128,2024,128,1.47441667,-0.873147615,1.713560992,68.4375
129,2024,129,1.677003094,1.906346297,2.538994994,67.90697674
130,2024,130,-1.318781165,1.079251063,1.704102878,67.38461538
131,2024,131,0.566476838,-0.833044618,1.007402275,66.87022901
132,2024,132,0.312900589,1.328590815,1.364939681,66.36363636
133,2024,133,-1.424301078,-0.336045119,1.463406944,65.86466165
134,2024,134,0.359290378,-1.256306024,1.306673028,65.37313433
135,2024,135,0.942665687,0.161729987,0.956438804,64.88888889
136,2024,136,0.309052359,0.225032764,0.382299758,64.41176471
137,2024,137,0.084001514,0.099548987,0.130254578,63.94160584
138,2024,138,0.047455824,-0.06016961,0.076631829,63.47826087
139,2024,139,0.292309261,-0.491255347,0.5716437,63.02158273
140,2024,140,0.200880901,0.690576576,0.71920035,62.57142857
141,2024,141,-0.579550556,0.33313895,0.668476183,62.12765957
142,2024,142,-0.689002436,-0.736154688,1.008289681,61.69014085
143,2024,143,0.473458724,-0.815250503,0.942760068,61.25874126
144,2024,144,-0.05855737,0.282394601,0.288401935,60.83333333
145,2024,145,0.35807299,-0.525298468,0.635731662,60.4137931
146,2024,146,0.969299402,0.011922321,0.969372721,60
147,2024,147,-0.273655611,1.09558628,1.129246071,59.59183673
148,2024,148,-0.094664983,1.009320109,1.013749743,59.18918919
149,2024,149,-0.489155993,-0.348057039,0.600347639,58.79194631
150,2024,150,-0.291537099,0.117733549,0.31441226,58.4
151,2024,151,0.334028511,0.075743389,0.34250855,58.01324503
152,2024,152,0.408521836,-1.331378347,1.392644389,57.63157895
153,2024,153,2.105866489,-0.843338158,2.268456065,57.25490196
154,2024,154,0.399032418,2.449813967,2.482098979,56.88311688
155,2024,155,-2.089126183,0.125332048,2.092882302,56.51612903
156,2024,156,-0.040086334,-3.4443279,3.444561162,56.15384615
157,2024,157,1.448559607,1.243483659,1.909077407,55.79617834
158,2024,158,-0.806910105,0.649612852,1.035905775,55.44303797
159,2024,159,-0.508242016,-0.448663977,0.677944917,55.09433962
160,2024,160,-2.43849534,-0.57008744,2.504248233,54.75
161,2024,161,0.052221494,-2.588192918,2.588719696,54.40993789
162,2024,162,1.381185881,0.468655208,1.458530816,54.07407407
163,2024,163,-1.068139636,1.807515765,2.099532215,53.74233129
164,2024,164,-1.847637915,0.363646941,1.883083897,53.41463415
165,2024,165,-0.445339476,-0.487087762,0.659986164,53.09090909
166,2024,166,-0.799760876,0.290315986,0.850823619,52.77108434
167,2024,167,0.437536897,-0.015096731,0.437797267,52.45508982
168,2024,168,-0.116301024,0.5749525,0.586597226,52.14285714
169,2024,169,-0.938244859,0.257439695,0.972922716,51.83431953
170,2024,170,0.455509736,0.680384948,0.818787394,51.52941176
171,2024,171,-0.379350684,-0.657289391,0.758904661,51.22807018
172,2024,172,0.722986393,0.894458499,1.150115355,50.93023256
173,2024,173,0.107620557,0.210488676,0.236405726,50.63583815
174,2024,174,-0.237179632,-0.063680826,0.245579774,50.34482759
175,2024,175,-0.862226274,-0.262581352,0.90132298,50.05714286
176,2024,176,1.258941694,-1.086149784,1.662725336,49.77272727
177,2024,177,-0.134917864,1.206757779,1.214276397,49.49152542
178,2024,178,-0.698082629,0.095937755,0.704644172,49.21348315
179,2024,179,-0.089759751,0.09952984,0.134026124,48.93854749
180,2024,180,0.029191005,-1.468065998,1.468356186,48.66666667
181,2024,181,1.218460128,1.045467357,1.605505241,48.39779006
182,2024,182,-0.574391551,1.236043036,1.362984974,48.13186813
183,2024,183,-0.645681019,0.052946155,0.647848187,47.86885246
184,2024,184,-0.710670015,-0.715339751,1.008346582,47.60869565
185,2024,185,1.412952084,-0.045432731,1.413682328,47.35135135
186,2024,186,0.095404649,0.546276601,0.554545014,47.09677419
187,2024,187,0.175855456,-0.58219077,0.608170399,46.84491979
188,2024,188,0.493992327,1.103575842,1.2090939,46.59574468
189,2024,189,-0.943921256,-0.210352603,0.967075776,46.34920635
190,2024,190,1.05302063,-0.721159143,1.276292661,46.10526316
191,2024,191,0.659381074,1.386803965,1.53558088,45.86387435
192,2024,192,-0.469225638,0.142248669,0.490313556,45.625
193,2024,193,-0.122298623,-0.140394768,0.186192492,45.38860104
194,2024,194,0.486694276,0.027008977,0.487443129,45.15463918
195,2024,195,0.592049841,-0.72441364,0.935573693,44.92307692
196,2024,196,0.701540192,-0.094579702,0.707886969,44.69387755
197,2024,197,0.947195114,0.463631648,1.054577113,44.46700508
198,2024,198,0.058149354,-1.035036932,1.036669088,44.24242424
199,2024,199,0.790964132,-0.537085861,0.956078177,44.0201005
200,2024,200,0.646934635,0.45217278,0.789293763,43.8
201,2024,201,0.040362266,-0.321004585,0.323532156,43.58208955
202,2024,202,-1.282631704,0.350120118,1.329559395,43.36633663
203,2024,203,-0.811184327,-1.81015106,1.983599474,43.15270936
204,2024,204,1.713901846,-1.139480226,2.058124079,42.94117647
205,2024,205,0.164116526,1.779691609,1.787242697,42.73170732
206,2024,206,-0.813825117,0.277125323,0.859714933,42.52427184
207,2024,207,-0.548087729,0.629866857,0.834944559,42.31884058
208,2024,208,-2.333571322,0.090677914,2.335332439,42.11538462
209,2024,209,1.381074814,-0.827588598,1.610052959,41.9138756
210,2024,210,0.734606454,2.254164737,2.37084485,41.71428571
211,2024,211,-2.951372704,0.592048671,3.01016984,41.51658768
212,2024,212,0.397182983,-1.667328643,1.713983409,41.32075472
213,2024,213,1.174876961,0.135110937,1.182620327,41.12676056
214,2024,214,-0.253515326,0.014548878,0.253932452,40.93457944
215,2024,215,-0.381522392,0.162633145,0.414739527,40.74418605
216,2024,216,1.43522219,0.095183154,1.438374974,40.55555556
217,2024,217,-0.890116027,0.993660689,1.334042019,40.36866359
218,2024,218,-1.716196236,-1.229580578,2.111207692,40.18348624
219,2024,219,1.395306109,-1.089892728,1.770521193,40
220,2024,220,-0.003092164,-0.524502603,0.524511718,39.81818182
221,2024,221,0.282027689,-0.376200613,0.470177114,39.63800905
222,2024,222,-0.051314538,0.445492134,0.448437758,39.45945946
223,2024,223,-0.417422694,0.040379902,0.419371246,39.28251121
224,2024,224,-0.885005473,-0.559171839,1.046856166,39.10714286
225,2024,225,0.856241841,0.157660178,0.870635872,38.93333333
226,2024,226,-1.230806973,1.36345252,1.836814792,38.76106195
227,2024,227,-0.484889927,-1.440811494,1.520215775,38.59030837
228,2024,228,0.76651244,1.211957354,1.434009047,38.42105263
229,2024,229,-1.007381265,-0.310792009,1.054233696,38.25327511
230,2024,230,0.988150821,0.315256977,1.037221774,38.08695652
231,2024,231,-0.575414646,1.133648325,1.271322358,37.92207792
232,2024,232,0.643687538,-0.044651885,0.645234405,37.75862069
233,2024,233,-0.486741551,1.588372075,1.661277576,37.59656652
234,2024,234,-0.299144476,-0.320459406,0.438385274,37.43589744
235,2024,235,0.099801221,0.840187433,0.846094089,37.27659574
236,2024,236,-0.70578019,-0.220252655,0.739348977,37.11864407
237,2024,237,0.151987022,-0.263485477,0.304178651,36.96202532
238,2024,238,0.425486819,0.508670701,0.663162812,36.80672269
239,2024,239,-0.294274427,0.309794359,0.427282088,36.65271967
240,2024,240,0.450748351,0.000439953,0.450748566,36.5
241,2024,241,-0.620686243,-0.227269395,0.660986226,36.34854772
242,2024,242,-0.400365767,-0.844348968,0.934461304,36.19834711
243,2024,243,1.685993592,-0.592846629,1.787188159,36.04938272
244,2024,244,-0.322199431,0.372926564,0.492835363,35.90163934
245,2024,245,-0.582920462,-0.744520946,0.945572685,35.75510204
246,2024,246,0.215275828,-0.867117873,0.893441149,35.6097561
247,2024,247,1.088029278,-0.856963873,1.384989094,35.46558704
248,2024,248,0.981270414,0.757901971,1.239881858,35.32258065
249,2024,249,-0.182494652,-0.297474874,0.348992262,35.18072289
250,2024,250,0.696580403,0.743037312,1.01849335,35.04
251,2024,251,-0.219425866,-0.068049788,0.229735683,34.90039841
252,2024,252,0.770616313,-1.066574706,1.315838555,34.76190476
253,2024,253,1.859989773,0.90729154,2.06947817,34.62450593
254,2024,254,0.025268346,1.115460509,1.115746672,34.48818898
255,2024,255,-0.859447221,-0.806140031,1.178351083,34.35294118
256,2024,256,1.567380122,-1.32859669,2.054713998,34.21875
257,2024,257,0.4053711,1.259535966,1.323161584,34.08560311
258,2024,258,0.004079482,-1.414462619,1.414468501,33.95348837
259,2024,259,2.45078025,1.109565089,2.690252501,33.82239382
260,2024,260,-1.915139026,2.840635462,3.42592576,33.69230769
261,2024,261,-1.346377066,-3.344363984,3.605204802,33.56321839
262,2024,262,2.072869564,0.141269806,2.077677883,33.4351145
263,2024,263,-1.019332033,1.108465537,1.505899612,33.30798479
264,2024,264,-0.802704748,-0.484640821,0.937662859,33.18181818
265,2024,265,0.053674349,1.257293125,1.258438293,33.05660377
266,2024,266,-1.190784272,-0.538762785,1.306993696,32.93233083
267,2024,267,0.708949589,-0.692907029,0.991327227,32.80898876
268,2024,268,-0.442422138,2.110399595,2.156275446,32.68656716
269,2024,269,-1.739679964,-1.025312722,2.019344586,32.56505576
270,2024,270,-0.140453324,-1.127301736,1.136017755,32.44444444
271,2024,271,-0.509848528,0.044147406,0.511756304,32.32472325
272,2024,272,-0.405180633,-0.263006443,0.483056658,32.20588235
273,2024,273,-0.470973282,-0.338379622,0.5799281,32.08791209
274,2024,274,-0.28712114,-1.472009128,1.499749787,31.97080292
275,2024,275,1.488848935,-0.714324373,1.651342019,31.85454545
276,2024,276,0.20403497,1.520264026,1.533894709,31.73913043
277,2024,277,-1.717653504,0.414492232,1.766957094,31.62454874
278,2024,278,-0.296017586,-1.600823211,1.627962335,31.51079137
279,2024,279,0.876605448,-0.458659394,0.989346022,31.39784946
280,2024,280,0.486958621,0.084366795,0.494212965,31.28571429
281,2024,281,1.258541361,0.70003248,1.440129102,31.17437722
282,2024,282,-0.030501485,0.693429044,0.694099546,31.06382979
283,2024,283,0.149470132,-0.148522119,0.210713408,30.9540636
284,2024,284,0.591443307,0.258500136,0.64546689,30.84507042
285,2024,285,0.083813598,0.438422307,0.44636178,30.73684211
286,2024,286,-0.285815006,0.321105196,0.429882268,30.62937063
287,2024,287,0.206744096,-0.158768783,0.26067345,30.52264808
288,2024,288,-0.5484147,0.306477601,0.628241358,30.41666667
289,2024,289,-0.761740205,-1.420394533,1.611759526,30.31141869
290,2024,290,0.718512851,0.664497876,0.97868184,30.20689655
291,2024,291,-0.377438688,0.5965194,0.705900388,30.10309278
292,2024,292,0.453096251,0.29836448,0.542510438,30
293,2024,293,-0.79055957,2.08561977,2.230424681,29.89761092
294,2024,294,-0.891962939,-0.007889144,0.891997827,29.79591837
295,2024,295,-1.022960357,0.13907177,1.0323705,29.69491525
296,2024,296,0.687547387,-0.767470814,1.030404222,29.59459459
297,2024,297,1.333619559,0.943382821,1.633558164,29.49494949
298,2024,298,-1.003608718,0.288932943,1.044371919,29.39597315
299,2024,299,0.838572091,0.070892176,0.841563339,29.29765886
300,2024,300,-0.58416127,0.363016428,0.687768359,29.2
301,2024,301,-0.369708093,-0.788352304,0.870737291,29.10299003
302,2024,302,-0.414379284,-0.472064093,0.628135893,29.00662252
303,2024,303,0.244782163,-0.16231969,0.293710724,28.91089109
304,2024,304,0.421850188,-0.667792797,0.789876447,28.81578947
305,2024,305,-1.095649155,-1.017705115,1.495383152,28.72131148
306,2024,306,1.039498602,-1.610882185,1.917159032,28.62745098
307,2024,307,1.436798097,1.543222888,2.108536377,28.53420195
308,2024,308,-1.549358819,1.618019193,2.240200629,28.44155844
309,2024,309,0.141716187,-1.729702321,1.735498083,28.34951456
310,2024,310,1.869465097,0.306068879,1.894354219,28.25806452
311,2024,311,2.227727069,2.475658687,3.330413462,28.16720257
312,2024,312,-0.659397402,1.241770844,1.405987113,28.07692308
313,2024,313,-0.814698539,-3.149324191,3.252995016,27.98722045
314,2024,314,3.898726721,-0.827993428,3.985679762,27.89808917
315,2024,315,0.86189963,2.418378098,2.567376793,27.80952381
316,2024,316,-0.327955084,0.588154015,0.673409001,27.72151899
317,2024,317,-1.332883926,-1.26182045,1.835421044,27.6340694
318,2024,318,1.943559301,-2.428792962,3.110700565,27.54716981
319,2024,319,1.89603972,0.64916801,2.004092245,27.46081505
320,2024,320,-2.816092295,-0.234144948,2.82580956,27.375
321,2024,321,-0.118795963,-1.652155849,1.656421272,27.28971963
322,2024,322,1.170174192,-1.897024391,2.228903134,27.20496894
323,2024,323,-0.008616132,1.945864983,1.945884058,27.12074303
324,2024,324,-2.7310313,0.89999542,2.875504081,27.03703704
325,2024,325,1.512810271,-1.523640509,2.147108595,26.95384615
326,2024,326,0.179573743,1.905415619,1.913858775,26.87116564
327,2024,327,-1.549148199,0.209831534,1.56329441,26.78899083
328,2024,328,0.279454186,0.757972675,0.807847274,26.70731707
329,2024,329,-1.234981468,0.547738946,1.350998586,26.62613982
330,2024,330,-0.578514699,0.73804961,0.937761421,26.54545455
331,2024,331,-1.879238252,-1.016463049,2.136523704,26.4652568
332,2024,332,-0.033084841,-1.806429672,1.806732622,26.38554217
333,2024,333,-0.863785495,0.838827223,1.204058343,26.30630631
334,2024,334,-0.013565153,-1.183926443,1.184004154,26.22754491
335,2024,335,0.688770628,-0.163193811,0.707839811,26.14925373
336,2024,336,-2.261851426,2.370266226,3.276298804,26.07142857
337,2024,337,-2.509117392,-1.934703468,3.16839827,25.99406528
338,2024,338,2.990222956,-2.424350559,3.849533602,25.91715976
339,2024,339,1.674935429,3.44456535,3.830200927,25.84070796
340,2024,340,-1.731641258,2.864196981,3.346969643,25.76470588
341,2024,341,-2.654615137,-0.899165655,2.802762994,25.68914956
342,2024,342,2.046660524,-1.955518373,2.830701576,25.61403509
343,2024,343,3.463610486,2.464547576,4.250951935,25.5393586
344,2024,344,0.683424971,1.108096582,1.301901581,25.46511628
345,2024,345,0.38371402,2.676335842,2.703703014,25.39130435
346,2024,346,-3.252309505,0.460927116,3.284809115,25.31791908
347,2024,347,1.035680981,-3.427393024,3.580455004,25.24495677
348,2024,348,2.453741765,1.548748429,2.901632358,25.17241379
349,2024,349,-0.170182742,1.481212237,1.490956692,25.10028653
350,2024,350,-0.624922935,-0.266313103,0.679302101,25.02857143
351,2024,351,0.51835344,0.040057743,0.519898944,24.95726496
352,2024,352,0.534694966,1.190350144,1.304926118,24.88636364
353,2024,353,-1.710579734,0.67734651,1.839804697,24.81586402
354,2024,354,-0.074381571,1.04983957,1.052471254,24.74576271
355,2024,355,-0.69368184,0.592131512,0.912038499,24.67605634
356,2024,356,0.675507805,-1.348647349,1.508363506,24.60674157
357,2024,357,2.23045345,0.276938309,2.247580348,24.53781513
358,2024,358,-0.382608173,1.345384865,1.398731371,24.46927374
359,2024,359,-2.955291158,-2.429770592,3.825902633,24.40111421
360,2024,360,0.846544364,-3.537624078,3.637502093,24.33333333
361,2024,361,0.09943705,0.559233475,0.568005112,24.26592798
362,2024,362,1.927031143,-6.973205809,7.234573124,24.19889503
363,2024,363,3.775410596,9.21727442,9.960515694,24.1322314
364,2024,364,-17.81033509,0.05088865,17.81040779,24.06593407
365,2024,365,8.176758929,-30.95802465,32.01966078,24
366,2024,366,12.51740717,13.48206103,18.39705009,23.93442623
367,2024,367,-12.65165059,5.088473715,13.63659882,23.86920981
368,2024,368,3.51758916,-7.022557852,7.854282417,23.80434783
369,2024,369,-2.114487791,3.178941543,3.817948134,23.7398374
370,2024,370,0.706528828,-3.228374926,3.304782542,23.67567568
371,2024,371,4.235650482,1.989407796,4.679581005,23.61185984
372,2024,372,-2.103618159,2.059841184,2.944173069,23.5483871
373,2024,373,-1.007371861,-0.11390747,1.013791388,23.48525469
374,2024,374,0.55794297,-0.448738127,0.716007168,23.42245989
375,2024,375,1.692493334,0.389735214,1.736786464,23.36
376,2024,376,-0.160905117,2.731727226,2.736461967,23.29787234
377,2024,377,0.144914959,-0.173309324,0.225912521,23.23607427
378,2024,378,1.769381832,-0.400901654,1.814231023,23.17460317
379,2024,379,-0.749084456,1.324211406,1.521401778,23.11345646
380,2024,380,-0.867007582,0.23643648,0.898668101,23.05263158
381,2024,381,-1.160925577,0.667896884,1.339341048,22.99212598
382,2024,382,-1.927583544,-0.739325453,2.06450489,22.93193717
383,2024,383,2.025083756,-0.972090215,2.246313336,22.87206266
384,2024,384,0.833002129,3.154578031,3.262706714,22.8125
385,2024,385,-1.584032164,0.951818405,1.848003294,22.75324675
386,2024,386,-0.001411145,0.936943968,0.93694503,22.69430052
387,2024,387,-2.094511228,0.407847735,2.13385029,22.63565891
388,2024,388,0.064607236,-1.464233439,1.465658098,22.57731959
389,2024,389,2.864596252,0.517580844,2.910979495,22.51928021
390,2024,390,-0.303652787,2.096327216,2.118205092,22.46153846
391,2024,391,-1.628234858,0.018600929,1.628341103,22.40409207
392,2024,392,0.629823948,-2.454393107,2.533914705,22.34693878
393,2024,393,0.498345531,-0.741816202,0.893666351,22.29007634
394,2024,394,0.717861424,-0.09270962,0.72382325,22.23350254
395,2024,395,0.9505262,-0.339541181,1.00935042,22.17721519
396,2024,396,-0.413361996,-0.951663506,1.037560393,22.12121212
397,2024,397,-1.229086775,1.032422277,1.605163562,22.06549118
398,2024,398,-0.025183957,-2.058954705,2.059108718,22.01005025
399,2024,399,2.91658177,-0.411706789,2.945496851,21.95488722
400,2024,400,-0.467482172,1.322572577,1.402760779,21.9
401,2024,401,0.066397364,0.634760248,0.638223458,21.84538653
402,2024,402,0.370239989,-0.030051619,0.371457601,21.79104478
403,2024,403,1.406995985,1.106307568,1.789847518,21.7369727
404,2024,404,-1.633804618,0.981971269,1.906196502,21.68316832
405,2024,405,0.603635069,-2.685002441,2.752019877,21.62962963
406,2024,406,1.457204785,2.424516851,2.828732534,21.57635468
407,2024,407,-2.11452138,0.621243832,2.203893047,21.52334152
408,2024,408,-0.180503002,-1.910912579,1.919418719,21.47058824
409,2024,409,-0.968831966,-1.582583118,1.855587428,21.41809291
410,2024,410,1.929697979,0.593394631,2.018873814,21.36585366
411,2024,411,-2.733737078,2.128638279,3.464739433,21.31386861
412,2024,412,-2.477306974,-2.618692408,3.604802321,21.26213592
413,2024,413,1.326305121,2.182652445,2.554027598,21.21065375
414,2024,414,-2.810218777,0.776884697,2.91562676,21.15942029
415,2024,415,1.057174975,1.092086458,1.519957815,21.10843373
416,2024,416,-3.155055953,1.579281791,3.52824447,21.05769231
417,2024,417,1.082055816,-3.863187422,4.011865133,21.00719424
418,2024,418,2.241974085,2.721247288,3.525852323,20.9569378
419,2024,419,-2.449516603,1.128780825,2.697086899,20.90692124
420,2024,420,1.076913491,-0.246727077,1.104815332,20.85714286
421,2024,421,0.468759005,-0.138327044,0.488742648,20.80760095
422,2024,422,1.068712674,0.146066477,1.078648319,20.75829384
423,2024,423,-0.446271545,0.646230619,0.785348524,20.70921986
424,2024,424,-0.92610482,-2.278077383,2.459127224,20.66037736
425,2024,425,1.2009629,-2.020867164,2.350790501,20.61176471
426,2024,426,0.982665792,0.136902246,0.992156381,20.56338028
427,2024,427,-1.392877353,-0.218862552,1.409967424,20.51522248
428,2024,428,0.581709137,-0.830228376,1.013737973,20.46728972
429,2024,429,0.628945408,-0.04418394,0.630495477,20.41958042
430,2024,430,0.454551695,0.354165532,0.576238204,20.37209302
431,2024,431,-0.533941807,0.373930077,0.651857006,20.32482599
432,2024,432,0.028449563,-0.087957522,0.092444055,20.27777778
433,2024,433,-0.742216297,-0.252947652,0.784134904,20.23094688
434,2024,434,1.245312818,-1.735940549,2.136420746,20.1843318
435,2024,435,1.827479707,1.789133881,2.557475733,20.13793103
436,2024,436,-1.148226881,-0.105007599,1.153018459,20.09174312
437,2024,437,0.623370115,-0.486679276,0.790852083,20.04576659
438,2024,438,0.531907752,0.208696848,0.571384486,20
439,2024,439,0.101533413,-0.009242085,0.101953176,19.95444191
