DateTime,year,n,a_n,b_n,amplitude,period_hours
0,2024,0,151.1697321,0,151.1697321,inf
1,2024,1,-29.66135313,41.73266086,51.19971535,8760
2,2024,2,-15.00989898,-21.95431392,26.59490491,4380
3,2024,3,17.28526683,8.528649614,19.27481034,2920
4,2024,4,-9.810262429,2.53950994,10.1336252,2190
5,2024,5,10.93535099,3.388880547,11.44842403,1752
6,2024,6,-1.809045301,15.10302225,15.21098044,1460
7,2024,7,-5.006995145,-2.186210277,5.463471036,1251.428571
8,2024,8,4.767060424,-0.638227494,4.809594518,1095
9,2024,9,-0.366800766,5.411400169,5.423817345,973.3333333
10,2024,10,-2.811912635,-1.311002208,3.102511798,876
11,2024,11,1.50899896,0.771769203,1.694905769,796.3636364
12,2024,12,-3.190691519,4.237667476,5.304558229,730
13,2024,13,-0.584642807,-0.306345305,0.660041406,673.8461538
14,2024,14,-1.470533576,-0.122148598,1.475597939,625.7142857
15,2024,15,0.361549281,-1.995364732,2.02785559,584
16,2024,16,-0.563745299,1.678793233,1.770919388,547.5
17,2024,17,-2.115265584,-2.924606126,3.609386303,515.2941176
18,2024,18,5.037345115,1.980694526,5.412762383,486.6666667
19,2024,19,-3.515404971,3.632045607,5.054683709,461.0526316
20,2024,20,0.842579861,-0.578082896,1.021822224,438
21,2024,21,-2.448521565,2.533909466,3.523628108,417.1428571
22,2024,22,-0.750563261,-7.245177943,7.283951443,398.1818182
23,2024,23,7.383982799,-0.410195968,7.395367652,380.8695652
24,2024,24,0.008924303,4.635448702,4.635457293,365
25,2024,25,-1.770072687,-1.556764473,2.357259625,350.4
26,2024,26,-1.04937299,-2.330770518,2.556105413,336.9230769
27,2024,27,3.826719521,-3.879412533,5.449185618,324.4444444
28,2024,28,3.637875292,0.91429909,3.751010459,312.8571429
29,2024,29,-2.700707403,2.390101399,3.606439404,302.0689655
30,2024,30,0.069759779,-1.817688453,1.819026591,292
31,2024,31,1.956768418,-0.27874431,1.976522459,282.5806452
32,2024,32,-3.602490011,0.084046486,3.603470284,273.75
33,2024,33,3.069881873,-1.532942699,3.431339102,265.4545455
34,2024,34,0.41621265,4.501688715,4.520888658,257.6470588
35,2024,35,-2.481945687,-1.038974192,2.69063594,250.2857143
36,2024,36,-0.461994481,0.297849983,0.549684921,243.3333333
37,2024,37,-0.509887805,-0.593329244,0.782320373,236.7567568
38,2024,38,-1.131363021,1.594471468,1.955075842,230.5263158
39,2024,39,-3.366937004,-4.834610067,5.891495506,224.6153846
40,2024,40,6.707560915,-1.890365557,6.968848926,219
41,2024,41,-4.596523804,5.664190916,7.29459319,213.6585366
42,2024,42,-4.413961517,-5.333049171,6.922750157,208.5714286
43,2024,43,3.999087979,-1.55612775,4.29118145,203.7209302
44,2024,44,1.255164869,-0.245882258,1.279021866,199.0909091
45,2024,45,-1.166448288,5.830779704,5.946309239,194.6666667
46,2024,46,-6.180495838,-1.575498535,6.378144278,190.4347826
47,2024,47,2.945704849,-3.481714714,4.560648464,186.3829787
48,2024,48,-0.272161381,4.186339292,4.195176813,182.5
49,2024,49,-1.712239868,2.320773447,2.884051795,178.7755102
50,2024,50,-5.940717374,1.119159219,6.045216314,175.2
51,2024,51,2.489148764,-7.79325992,8.181122279,171.7647059
52,2024,52,7.53742448,7.202418291,10.42533439,168.4615385
53,2024,53,-5.150817926,0.949504455,5.237602888,165.2830189
54,2024,54,0.27241873,-4.845470164,4.853121993,162.2222222
55,2024,55,0.563175531,-0.513313889,0.762009073,159.2727273
56,2024,56,2.925546203,-1.268867803,3.18886282,156.4285714
57,2024,57,-0.845581819,2.25981707,2.412836878,153.6842105
58,2024,58,-3.151028645,-2.979624352,4.336720281,151.0344828
59,2024,59,3.415146017,-3.140088106,4.639329222,148.4745763
60,2024,60,2.620465671,2.561044821,3.66412212,146
61,2024,61,-2.353339677,0.595744784,2.427574815,143.6065574
62,2024,62,0.650259156,-3.27564286,3.339561815,141.2903226
63,2024,63,1.762231879,3.575445871,3.986135268,139.047619
64,2024,64,-1.964277419,1.279388574,2.344188752,136.875
65,2024,65,-0.186100691,0.712542223,0.736444082,134.7692308
66,2024,66,-0.733379013,-0.099327446,0.740074806,132.7272727
67,2024,67,1.050882368,-0.581452093,1.201016356,130.7462687
68,2024,68,0.830762541,0.263660691,0.871598164,128.8235294
69,2024,69,1.254116051,0.269886975,1.282827366,126.9565217
70,2024,70,-1.131847545,0.888098399,1.438679127,125.1428571
71,2024,71,1.063464892,-1.081576613,1.516827461,123.3802817
72,2024,72,-0.032284732,1.61933825,1.619660048,121.6666667
73,2024,73,-1.535577789,-0.772043419,1.718735055,120
74,2024,74,-0.030440188,-0.019828934,0.036328937,118.3783784
75,2024,75,-1.244045933,-1.125276593,1.677467643,116.8
76,2024,76,1.794149414,-0.142640666,1.799810678,115.2631579
77,2024,77,0.995568131,1.748534788,2.012095875,113.7662338
78,2024,78,-1.388104148,0.995167138,1.707978559,112.3076923
79,2024,79,-1.927340012,0.675685415,2.042349211,110.8860759
80,2024,80,-0.188611482,-1.039929486,1.056895277,109.5
81,2024,81,0.797795452,0.491373044,0.936976548,108.1481481
82,2024,82,-0.05256833,1.040668979,1.041995851,106.8292683
83,2024,83,0.022696363,0.088198229,0.091071688,105.5421687
84,2024,84,-0.614427512,-1.159619293,1.312340685,104.2857143
85,2024,85,0.40916403,-1.205313466,1.272869104,103.0588235
86,2024,86,1.701863817,-0.241001167,1.71884322,101.8604651
87,2024,87,1.861873523,1.199416386,2.214762444,100.6896552
88,2024,88,-1.345300033,1.235471715,1.826532929,99.54545455
89,2024,89,-1.728169629,-0.961368636,1.977574251,98.42696629
90,2024,90,1.121346393,-2.029288337,2.318497118,97.33333333
91,2024,91,1.683453806,-0.772063702,1.852052666,96.26373626
92,2024,92,1.066633733,1.877419124,2.159261468,95.2173913
93,2024,93,-2.11226557,-0.173156496,2.119351083,94.19354839
94,2024,94,1.57054495,-1.139634025,1.940457975,93.19148936
95,2024,95,0.792003728,1.429708301,1.63442214,92.21052632
96,2024,96,1.356360341,0.571147864,1.4717076,91.25
97,2024,97,-1.620820817,2.446315365,2.934538974,90.30927835
98,2024,98,-1.442050095,-2.878632737,3.219632729,89.3877551
99,2024,99,3.066987563,-0.286239494,3.080315854,88.48484848
100,2024,100,-1.515868515,1.203802921,1.935716619,87.6
101,2024,101,-0.793112084,-0.493930773,0.934341687,86.73267327
